Jahr;Briefe;Brieflänge;Korrespondent/innen;Mitleser/innen;Kommentator/innen;Personenerwähnungen;Themen;Digital Performance Index
1799;0.0865051903114187;0.1747077517961741;1.0752688172043011;0;0;0.2580645161290323;5;0.9420780393487037428571428571428571
1800;1.9896193771626298;2.0718774548311076;8.6021505376344086;0.3861003861003861;0.5797101449275362;3.4193548387096774;30;6.7212589627665351
1801;3.28719723183391;4.2416342942820146;11.2903225806451613;1.1583011583011583;10.7246376811594203;8.7096774193548387;45;12.0588243379395004571428571428571429
1802;5.5363321799307958;6.5650702866345992;9.1397849462365591;1.5444015444015444;13.6231884057971014;10.2580645161290323;55;14.5238345541613760285714285714285714
1803;5.5363321799307958;5.6123940499377661;11.8279569892473118;0.7722007722007722;5.5072463768115942;9.9354838709677419;60;14.170230605585140285714285714285714
1804;4.2387543252595156;4.2924347261529411;10.2150537634408602;0;4.0579710144927536;8.5161290322580645;56.6666666666666667;12.5695727897529716714285714285714286
1805;5.2768166089965398;4.8966818754102594;12.3655913978494624;2.7027027027027027;8.6956521739130435;10.8387096774193548;61.6666666666666667;15.2061173004225756142857142857142857
1806;2.8546712802768166;1.7619410159010284;9.1397849462365591;1.1583011583011583;7.2463768115942029;5.4838709677419355;38.3333333333333333;9.4254685019121477285714285714285714
1807;3.3737024221453287;1.6287075796217184;6.989247311827957;1.9305019305019305;4.927536231884058;4.8387096774193548;51.6666666666666667;10.7650102600095734428571428571428571
1808;7.6124567474048443;7.0515527983729514;17.2043010752688172;8.1081081081081081;4.6376811594202899;12.1290322580645161;60;16.677590306662789571428571428571429
1809;7.5259515570934256;6.908387944918522;20.4301075268817204;8.4942084942084942;1.4492753623188406;12.9032258064516129;65;17.5301652416960879571428571428571429
1810;5.8823529411764706;6.5639717777371255;17.2043010752688172;5.7915057915057915;1.1594202898550725;14.7741935483870968;55;15.1965350605614820142857142857142857
1811;7.4394463667820069;8.2955580783895949;21.5053763440860215;11.1969111969111969;3.1884057971014493;13.5483870967741935;61.6666666666666667;18.1201073638158756714285714285714286
1819;4.0657439446366782;3.3983381578050626;10.7526881720430108;3.4749034749034749;2.608695652173913;11.2258064516129032;45;11.5037394075964346714285714285714286
1812;1.2975778546712803;1.2817356978625259;8.6021505376344086;2.3166023166023166;0.5797101449275362;4.7741935483870968;31.6666666666666667;7.2169481095359758714285714285714286
1813;1.1245674740484429;0.9089824848360935;4.8387096774193548;3.4749034749034749;1.7391304347826087;3.3548387096774194;30;6.4915903222381991714285714285714286
1814;1.384083044982699;1.1916803868186106;6.989247311827957;2.7027027027027027;0.8695652173913043;4.9032258064516129;35;7.5772149243106980714285714285714286
1815;1.2975778546712803;1.5409837976663187;5.9139784946236559;3.4749034749034749;0.8695652173913043;5.8064516129032258;35;7.7004943503084657
1816;2.5086505190311419;1.9307526893291294;11.2903225806451613;2.7027027027027027;2.8985507246376812;5.8064516129032258;40;9.5910615470355774714285714285714286
1817;2.6816608996539792;3.1272754827161955;15.0537634408602151;3.861003861003861;4.3478260869565217;8.9032258064516129;40;11.1392507968060550571428571428571429
1818;2.5086505190311419;3.2001357667323082;8.0645161290322581;5.7915057915057915;2.608695652173913;7.1612903225806452;41.6666666666666667;10.1430658353889606571428571428571429
1820;4.7577854671280277;4.2368591433603432;12.3655913978494624;8.4942084942084942;4.3478260869565217;13.4193548387096774;61.6666666666666667;15.6126131564113133285714285714285714
1821;3.5467128027681661;5.0765683120088096;6.989247311827957;18.9189189189189189;3.7681159420289855;12.967741935483871;58.3333333333333333;15.6572340794814344857142857142857143
1822;4.8442906574394464;5.4753494603406902;6.4516129032258065;0.7722007722007722;1.1594202898550725;11.5483870967741935;40;10.0358944542622830428571428571428571
1823;1.643598615916955;1.7239191569190816;4.8387096774193548;0;0;3.6129032258064516;25;5.259875810865977571428571428571429
1824;0.6055363321799308;0.6341759120762446;5.9139784946236559;0.3861003861003861;0.8695652173913043;3.3548387096774194;15;3.8234564360069915857142857142857143
1825;2.6816608996539792;2.345069892068138;12.9032258064516129;0;0;4.3225806451612903;26.6666666666666667;6.9884577014288124428571428571428571
1826;3.8927335640138408;3.5810269130196171;12.9032258064516129;0.3861003861003861;6.9565217391304348;5.2258064516129032;40;10.4207735514755421285714285714285714
